Precio,Distrito,Tipo,Habitaciones,Aseos,Superficie,Planta,Parking,URL
1390000,Barajas,Casa adosada,5,4,340,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-piscina-se-aceptan-mascotas/157918960/d
599000,Chamberí,Ático,3,2,158,6,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-zona-comunitaria-ascensor-piscina-amueblado-parking-television-internet-piscina/157691053/d
3300000,Carabanchel,Piso,5,7,319,4,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/158879258/d
319000,Carabanchel,Piso,3,2,106,1,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-terraza-trastero-zona-comunitaria-ascensor/159285771/d
179000,Carabanchel,Piso,1,1,51,1,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-terraza-trastero-zona-comunitaria-ascensor/159285654/d
370000,Chamartín,Piso,2,1,81,5,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor/157197994/d
797000,Tetuán,Piso,5,3,232,2,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor/156639434/d
796000,Barajas,Casa o chalet,4,3,286,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-parking-jardin-terraza/159265289/d
265000,Centro,Estudio,,1,51,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor-amueblado/159264561/d
85000,Carabanchel,Dúplex,3,2,66,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/trastero/159223445/d
109000,San Blas,Piso,2,1,44,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor-no-amueblado/158633226/d
319000,Chamberí,Dúplex,2,1,84,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/157695044/d
166000,San Blas,Piso,2,1,69,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/159066024/d
215000,San Blas,Piso,2,1,58,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/159066023/d
84900,San Blas,Piso,1,1,42,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/159099708/d
229900,Salamanca,Piso,3,1,71,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-amueblado/159023070/d
1150000,Chamberí,Piso,2,3,116,6,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-amueblado/159335288/d
220000,Carabanchel,Piso,1,1,49,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado/156335653/d
230000,Centro,Piso,4,2,97,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor-piscina-amueblado/157636037/d
575000,Ciudad Lineal,Dúplex,2,2,105,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/159330691/d
189000,Salamanca,Ático,,1,47,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-television-se-aceptan-mascotas-internet-no-amueblado/159119637/d
555000,Ciudad Lineal,Piso,1,2,70,4,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/159029898/d
226000,Ciudad Lineal,Piso,2,1,80,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/159029290/d
150000,Ciudad Lineal,Piso,2,1,61,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/158285739/d
